"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Valdez, César","491624","8.7","11.2","","5.2","74.9","","","","",""
"Hernández, Darwinzon","650382","73.1","0.9","","20.6","","5.4","","","",""
"Wells, Alex","649144","50.8","","","16.0","13.8","19.4","","","",""
"Clarke, Taylor","664199","53.4","","","29.0","15.7","2.0","","","",""
"Springs, Jeffrey","605488","41.9","","","30.2","27.8","","","","",""
"Wendelken, J.B.","605525","50.5","13.8","","23.6","9.6","2.5","","","",""
"Taylor, Blake","642130","72.5","","","27.5","","","","","",""
"Sale, Chris","519242","47.6","1.4","","31.5","19.6","","","","",""
"Long, Sam","669674","42.2","1.0","","2.2","20.5","34.2","","","",""
"Gilbreath, Lucas","656458","63.1","","","35.3","","","1.6","","",""
"Garcia, Bryan","650530","1.0","54.9","","26.4","17.8","","","","",""
"Lugo, Seth","607625","29.0","24.9","","14.4","3.2","28.5","","","",""
"Foster, Matt","641582","63.5","","3.4","10.6","22.5","","","","",""
"Farmer, Buck","571656","47.8","","","26.7","25.5","","","","",""
"Castellanos, Humberto","528748","22.2","34.0","","6.6","11.0","26.2","","","",""
"Parker, Blake","453284","46.3","","11.1","","","7.9","34.8","","",""
"Coonrod, Sam","656322","19.5","53.8","","17.7","8.1","","","","0.8",""
"Kelly, Joe","523260","6.9","33.8","","","16.2","43.1","","","",""
"Ponce, Cody","664074","41.7","0.4","18.8","14.3","8.1","16.6","","","",""
"Mikolas, Miles","571945","26.5","22.8","","25.7","7.2","17.8","","","",""
"Patton, Spencer","607359","56.5","0.1","","33.6","","","9.8","","",""
"Curtiss, John","595928","50.2","","","49.8","","","","","",""
"De Los Santos, Enyel","660853","68.4","","","20.5","11.0","","","","",""
"King, John","667463","0.1","57.0","9.5","8.2","19.5","","","","5.6",""
"Arihara, Kohei","685503","30.3","15.9","12.8","17.5","13.5","2.4","7.5","","",""
"Díaz, Miguel","622766","45.5","0.7","","1.9","51.9","","","","",""
"Abreu, Bryan","650556","43.3","2.0","","37.3","","17.4","","","",""
"Armstrong, Shawn","542888","55.2","","33.0","11.8","","","","","",""
"Bleier, Richard","542947","1.0","61.6","23.5","12.6","1.3","","","","",""
"Valdez, Phillips","570488","0.3","40.1","","10.5","49.1","","","","",""
"Blackburn, Paul","621112","6.5","41.6","25.6","","14.2","12.2","","","",""
"Smith, Burch","572143","68.9","","","2.1","13.6","15.5","","","",""
"Muller, Kyle","666205","41.4","1.0","","35.0","1.9","20.7","","","",""
"Kranick, Max","668820","48.5","","","31.9","7.4","12.2","","","",""
"Bowden, Ben","641386","70.9","","","10.5","18.5","","","","",""
"Newcomb, Sean","656794","57.7","0.1","25.7","","0.9","15.6","","","",""
"Rainey, Tanner","663432","64.7","","","35.2","0.2","","","","",""
"Cahill, Trevor","502239","6.2","29.8","18.5","","23.9","21.7","","","",""
"Holloway, Jordan","656548","33.4","12.2","","41.3","2.7","10.4","","","",""
"Martin, Chris","455119","39.3","14.0","18.4","","","7.9","12.4","","8.0",""
"Minaya, Juan","573668","51.4","","","3.6","44.9","","","","",""
"Barnes, Charlie","656212","","44.1","","24.3","29.2","2.4","","","",""
"Keller, Kyle","664918","55.7","","","","","44.3","","","",""
"Ponce de Leon, Daniel","594965","73.7","0.2","10.0","","12.1","4.1","","","",""
"Vesia, Alex","681911","72.4","","","17.5","10.1","","","","",""
"Smith, Joe","501925","23.4","39.5","","34.9","2.2","","","","",""
"Kay, Anthony","641743","58.4","","10.8","8.9","11.4","10.5","","","",""
"Lucchesi, Joey","664192","","60.1","3.3","","0.2","36.5","","","",""
"Rogers, Taylor","573124","","46.0","","","","","","","54.0",""
"Abreu, Albert","656061","16.4","32.7","","34.9","15.9","0.2","","","",""
"Lange, Alex","656638","45.2","0.2","","0.2","15.2","39.3","","","",""
"Faria, Jake","607188","56.0","0.2","","7.5","","15.8","20.5","","",""
"Kowar, Jackson","663804","55.3","","","13.0","30.4","1.3","","","",""
"Machado, Andrés","600921","56.0","14.7","","19.3","10.0","","","","",""
"Junis, Jakob","596001","34.8","4.1","17.4","39.9","3.3","0.5","","","",""
"Mantiply, Joe","573009","7.2","44.1","","","18.4","30.3","","","",""
"Miller, Andrew","453192","16.3","19.0","","64.7","","","","","",""
"Banda, Anthony","607455","47.9","","1.0","0.3","37.2","13.6","","","",""
"Smith, Drew","622098","51.8","4.4","31.0","0.7","4.6","7.5","","","",""
"Santana, Edgar","650828","1.0","63.9","","35.1","","","","","",""
"Vest, Will","676684","56.8","","","23.4","19.8","","","","",""
"Dolis, Rafael","503569","0.2","65.0","","23.0","","","11.9","","",""
"Soria, Joakim","465657","59.3","0.7","","21.3","14.4","4.3","","","",""
"Wilson, Justin","458677","58.1","","35.8","6.1","","","","","",""
"Garrett, Braxton","666129","34.8","14.2","","21.7","11.9","17.4","","","",""
"Sandlin, Nick","680704","15.9","35.5","","46.4","","","2.2","","",""
"Okert, Steven","595345","32.1","8.3","","59.6","","","","","",""
"Gilbert, Tyler","656457","24.5","16.5","45.0","","","7.7","6.3","","",""
"Neidert, Nick","663734","47.0","","0.2","30.9","12.0","9.9","","","",""
"Sanchez, Aaron","592717","18.7","30.6","","","20.2","30.6","","","",""
"Burr, Ryan","621114","50.3","","40.1","9.6","","","","","",""
"Yang, Hyeon-Jong","660365","45.8","","","23.0","27.4","3.9","","","",""
"Chatwood, Tyler","543022","8.0","46.0","36.2","","3.6","6.3","","","",""
"Claudio, Alex","592222","14.3","34.2","","27.1","24.4","","","","",""
"Sadler, Casey","594987","0.3","27.0","40.8","","0.3","31.5","","","",""
"Oviedo, Luis","665854","50.5","","","21.2","6.2","22.1","","","",""
"Brach, Brad","542960","47.5","3.5","0.2","13.0","35.9","","","","",""
"Ramirez, Noé","598287","37.5","","","","29.9","32.6","","","",""
"Lowther, Zac","675912","54.1","","","13.1","17.2","15.6","","","",""
"Barnes, Jacob","606930","54.7","","37.0","0.9","7.4","","","","",""
"Webb, Jacob","657097","44.5","","","","46.1","9.3","","","",""
"Harper, Ryne","607560","21.9","","","15.5","","62.6","","","",""
"Slegers, Aaron","642083","15.9","41.5","","33.4","9.2","","","","",""
"Maples, Dillon","596027","33.1","18.6","","35.8","","12.6","","","",""
"Swanson, Erik","657024","59.9","","","19.0","","","21.1","","",""
"Goudeau, Ashton","623485","45.3","","","","22.0","32.7","","","",""
"González, Victor","624647","","55.3","","44.7","","","","","",""
"Ginkel, Kevin","656464","59.4","","","40.3","0.4","","","","",""
"Sampson, Adrian","592716","20.8","38.3","3.6","13.0","24.4","","","","",""
"Falter, Bailey","663559","6.2","62.0","","23.4","5.8","2.7","","","",""
"Poteet, Cody","547001","48.8","","","19.3","18.2","13.7","","","",""
"Head, Louis","545343","52.4","","","47.1","0.5","","","","",""
"Cotton, Jharel","605194","46.2","","1.3","13.9","30.3","8.3","","","",""
"Hendrix, Ryan","641682","43.9","0.6","0.4","55.0","","0.2","","","",""
"Cousins, Jake","664776","","37.5","","61.0","1.5","","","","",""
"Rogers, Josh","642028","50.7","0.8","","35.1","12.9","0.6","","","",""
"Ashby, Aaron","676879","3.0","32.9","","38.5","21.6","3.9","","","",""
"Gil, Luis","661563","53.4","","","39.3","7.3","","","","",""
"Middleton, Keynan","641871","57.7","","","30.2","12.1","","","","",""
"Antone, Tejay","622088","32.1","","","32.5","","35.3","","","",""
"Coulombe, Danny","543056","25.1","8.1","","42.0","","24.8","","","",""
"Chavez, Jesse","445926","3.4","35.0","41.3","10.4","9.8","","","","",""
"Nelson, Jimmy","519076","33.1","","","32.5","","34.4","","","",""
"Graterol, Brusdar","660813","2.3","58.9","7.5","31.4","","","","","",""
"Evans, Demarcus","663770","60.3","","24.9","","","14.8","","","",""
"Tapia, Domingo","593619","15.0","58.1","1.5","19.2","6.2","","","","",""
"McGowin, Kyle","641851","10.8","20.5","","68.7","","","","","",""
"Workman, Brandon","519443","35.3","","13.8","","","50.9","","","",""
"Knehr, Reiss","663753","54.6","","15.2","7.6","22.6","","","","",""
"Diplán, Marcos","650959","62.3","","","0.2","10.5","27.0","","","",""
"McFarland, T.J.","519008","","68.6","","8.4","23.0","","","","",""
"Kintzler, Brandon","445213","0.6","74.5","","13.9","11.0","","","","",""
"Zuber, Tyler","676604","57.9","","","30.4","6.3","5.3","","","",""
"Rodriguez, Chris","669735","2.4","63.0","","5.7","4.8","24.2","","","",""
"Garza, Justin","621057","3.8","49.9","29.0","9.1","8.2","","","","",""
"Lakins Sr., Travis","664042","35.3","2.0","37.7","","6.2","18.8","","","",""
"García, Luis","472610","1.2","58.3","","28.7","","","11.8","","",""
