"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Barnes, Matt","598264","2249",,,,"2063","2049","2048",,,
"Howard, Spencer","675921","2144",,,"2162","1471","1934",,,,
"Quijada, José","650671","2206",,,"2525","1649",,,,,
"Assad, Javier","665871","2211","2004","2134","2297","1510","2432",,,,
"Cuas, Jose","621016","2521","2464",,"2669","1722",,,,,
"Gutierrez, Vladimir","661269","2140",,,"2490","1737","2555",,,,
"Thompson, Ryan","657044","2149","1987","2167","2147","745",,,,,
"Chapman, Aroldis","547973","2362","2431",,"2282",,,"835",,,
"Arano, Víctor","644364","2269","2122",,"2511",,,,,,
"Graterol, Brusdar","660813","2106","2048","2321","2533",,,,,,
"Blach, Ty","621389",,"2185","2357",,"1898","2387",,,,
"Moran, Jovani","663558","2225",,,"2623","1809","2565",,,,
"Danish, Tyler","641501","1884","1802",,"2291","1424","1994",,,"2412",
"Thornton, Trent","663423","2431","2263",,"2705",,"3028",,,"2923",
"Sánchez, Cristopher","650911",,"2061",,"1912","1914",,,,,
"Flaherty, Jack","656427","2282","2004","2279","2435","1847","2396",,,,
"Fleming, Josh","676596","1779","1761","1897",,"1691","1846",,,,
"Harvey, Hunter","640451","2029",,,"2340",,"1997","1002",,,
"Swarmer, Matt","664161","1989",,,"2194","1468",,,,,
"Warren, Art","605521","2250",,,"2513",,,,,,
"Koenig, Jared","657649","2152","2140","2124",,"1621","2210",,,,
"Liberatore, Matthew","669461","2116","2038",,"2573","1527","2737",,,,
"Moronta, Reyes","606625","2351",,,"2491","1943",,,,,
"Peters, Dillon","596071","2305","2190",,"2377","1543","2906",,,,
"Brazoban, Huascar","623211","2232","2279","2363",,"1840",,,,,
"McGee, Jake","459429","2079",,,"1842",,,,,,
"Ramírez, Yohan","670990","2235","2234",,,,,,,"2375",
"Sulser, Cole","642121","2235",,,"2274","1512","2375",,,,
"Moreta, Dauri","664294","2266",,,"1996","1810",,,,,
"Jefferies, Daulton","641726","2118","2057","2155",,"1502","2368",,,,
"Strzelecki, Peter","657265","2416",,,"2974","1746",,,,,
"Sands, Cole","663485","2222","2237","2375",,"2057","2812","1285",,,
"Price, David","456034","1888","1888","1954",,"1627","2224",,,,
"Nelson, Kyle","669459","2148",,"1991","2573",,"2415",,,"2538",
"Martinez, Seth","661527","2194","2141","2418",,"1719",,,,"2468",
"Waldichuk, Ken","686610","2335",,,,"1649","2059",,,"2289",
"Lamet, Dinelson","659275","2404","2325",,"2422","2029",,,,,
"Snider, Collin","676092",,"2428",,"2676","2259",,,,,
"Ferguson, Caleb","657571","2319",,,,,"3084",,,,
"Baumann, Mike","657508","2196","2142",,"2314","1894","2215",,,,
"Castano, Daniel","641447","2239","2168","2388","2437","1769",,,,,
"Thompson, Zack","668868","2002",,,"2107","1464","2811",,,,
"McCarty, Kirk","668948","2311","2252","2416","2461","1610","2714",,,,
"Ortega, Oliver","661383","2295","2270",,,,"2307",,,"2431",
"Gilbert, Tyler","656457","2098","2026","2219",,,"2497","1431",,,
"Naughton, Packy","676050","2078","2016",,"2350","1428",,,,,
"Miley, Wade","489119","2263","2080","2284","2345","1835","2438",,,,
"Wentz, Joey","666214","2273",,"2295",,"2085","2291",,,,
"Barlow, Joe","669618","2330","2344",,"2285",,"2458",,,,
"Newcomb, Sean","656794","2350","2481","2634",,"1317","2808",,,,
"Banda, Anthony","607455","2126","2048",,"1957","1748","2000",,,,
"Head, Louis","545343","2173",,,"2624","1472",,,,,
"Dunn, Justin","643290","2227",,,"2358","1645","2365",,,,
"Morejon, Adrian","670970","2498",,,"2655","859","2536",,,,
"Jiménez, Dany","666204","2216",,"2150","2360",,,,,,
"Pop, Zach","647315",,"2069",,"2406","1927",,,,,
"Rodriguez, Elvin","660730","2415","2363","2332","2429","2096","2654",,,"2453",
"Ort, Kaleb","672391","2176","2467",,"2378","1891",,,,,
"Rainey, Tanner","663432","2429",,,"2383","1119",,,,,
"Castro, Miguel","612434",,"2126",,"2821","1822",,,,,
"Garza Jr., Ralph","621248","2248","2163","2247","2367","1705","2495",,,,
"Hernández, Jonathan","642546","2163","2239",,"2520","2181",,,,,
"Mills, Wyatt","670090","2014","1845",,"2353",,,,,,
"Silseth, Chase","681217","2348","2243","2714","2575",,"2677","1296",,,
