"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Gray, Sonny","543243","28.4","19.4","0.6","0.4","5.1","25.2","","","20.9",""
"Bailey, Homer","456701","48.1","2.4","","14.2","","8.9","26.4","","",""
"Mikolas, Miles","571945","27.6","23.8","","23.4","3.8","21.4","","","",""
"Tanaka, Masahiro","547888","27.5","4.6","1.6","36.4","","3.2","26.7","","",""
"Odorizzi, Jake","543606","57.9","","18.4","","","6.5","17.1","","",""
"Wainwright, Adam","425794","13.6","25.1","22.4","","2.0","36.8","","","",""
"Bundy, Dylan","605164","42.4","7.5","","22.8","17.4","9.9","","","",""
"Pérez, Martín","527048","17.5","24.8","30.8","","22.2","4.7","","","",""
"Scherzer, Max","453286","48.4","","7.7","20.7","14.5","8.7","","","",""
"Gibson, Kyle","502043","18.2","32.1","","20.8","16.2","12.8","","","",""
"Thornton, Trent","663423","44.0","2.6","16.0","27.1","8.9","1.4","0.0","","",""
"Quintana, Jose","500779","36.3","25.5","","","11.0","21.9","","","","5.3"
"Keller, Brad","641745","41.7","25.2","","31.4","1.7","","","","",""
"Ryu, Hyun Jin","547943","27.3","13.3","19.4","0.3","27.5","12.2","","","",""
"Matz, Steven","571927","","50.6","","14.5","20.1","14.8","","","",""
"Happ, J.A.","457918","48.4","17.5","","17.4","15.9","0.8","","","",""
"Hendricks, Kyle","543294","20.5","41.6","","","28.1","9.8","","","",""
"Sánchez, Aníbal","434671","30.1","9.7","23.5","2.8","4.5","6.0","23.5","","",""
"Means, John","607644","50.7","","","14.4","28.9","1.8","","","","4.1"
"Davies, Zach","605200","","52.6","11.8","0.7","31.3","3.5","","","",""
"Fried, Max","608331","53.1","3.5","0.3","15.9","2.4","24.7","","","",""
"Paxton, James","572020","59.9","","20.0","","1.2","18.9","","","",""
"Smith, Caleb","592761","53.8","","","31.6","14.7","","","","",""
"Anderson, Brett","474463","18.6","43.8","","18.7","13.4","5.5","","","",""
"Turnbull, Spencer","605513","44.8","19.5","","20.7","2.9","12.1","","","",""
"Musgrove, Joe","605397","37.6","11.9","8.4","22.1","10.6","9.5","","","",""
"Lucchesi, Joey","664192","","51.3","13.6","","","35.1","","","",""
"Kikuchi, Yusei","579328","48.9","","","28.0","7.6","15.4","","","",""
"Márquez, Germán","608566","35.4","17.0","","21.1","3.0","23.5","","","",""
"DeSclafani, Anthony","543101","37.2","18.1","","24.3","5.4","15.1","","","",""
"Kershaw, Clayton","477132","43.9","","","39.1","0.6","16.4","","","",""
"Eflin, Zach","621107","33.6","21.9","0.5","30.7","7.9","5.4","","","",""
"Soroka, Michael","647336","18.8","44.7","","24.2","12.3","","","","",""
"Cashner, Andrew","488768","45.3","2.9","","13.1","27.9","10.8","","","",""
"Lauer, Eric","641778","53.1","","21.5","8.0","3.6","13.7","","","",""
"Vargas, Jason","450306","27.6","22.2","","","35.1","15.2","","","",""
"Sale, Chris","519242","35.8","10.2","","38.4","15.6","","","","",""
"Maeda, Kenta","628317","34.2","3.2","","31.1","","7.3","24.1","","",""
"Bassitt, Chris","605135","23.9","41.1","13.7","0.1","8.4","12.8","","","",""
"Hamels, Cole","430935","35.5","12.1","18.6","","21.3","12.5","","","",""
"Lyles, Jordan","543475","50.2","1.7","","9.7","7.0","31.3","","","",""
"Gray, Jon","592351","51.3","1.2","","33.5","2.9","11.1","","","",""
"Norris, Daniel","596057","45.0","6.7","","22.8","19.0","6.5","","","",""
"Williams, Trevor","592866","51.9","15.0","","20.1","12.1","0.9","","","",""
"Sanchez, Aaron","592717","36.4","21.1","","","19.4","23.1","","","",""
"Anderson, Chase","502624","43.4","7.4","14.7","","24.2","10.3","","","",""
"Richards, Trevor","670950","43.7","","10.6","","38.4","7.3","","","",""
"Paddack, Chris","663978","61.1","","","","28.5","10.4","","","",""
"Sparkman, Glenn","642098","60.7","","0.0","9.8","12.8","16.6","","","",""
"Germán, Domingo","593334","34.4","10.5","","","19.0","36.1","","","",""
"Senzatela, Antonio","622608","61.9","","","19.5","8.0","10.6","","","",""
"Wacha, Michael","608379","49.5","0.9","15.5","","23.8","10.3","","","",""
"Arrieta, Jake","453562","1.0","55.5","","12.0","18.2","13.4","","","",""
"Pineda, Michael","501381","54.2","1.1","","29.4","15.3","","","","",""
"Duffy, Danny","518633","44.2","8.9","","26.3","11.5","9.0","","","",""
"Mahle, Tyler","641816","57.1","","7.0","","","23.2","12.8","","",""
"Smyly, Drew","592767","","47.7","18.3","","4.8","29.2","","","",""
"Velasquez, Vince","592826","62.5","5.3","","20.0","","12.2","","","",""
"Archer, Chris","502042","39.6","10.7","","35.6","12.1","2.0","","","",""
"Clevinger, Mike","605182","51.1","","","25.5","11.4","12.1","","","",""
"López, Jorge","605347","31.9","22.5","","6.0","7.5","32.2","","","",""
"Yarbrough, Ryan","642232","23.7","0.5","36.7","","25.6","13.5","","","",""
"Sampson, Adrian","592716","","54.2","","33.2","12.5","0.1","","","",""
"Jurado, Ariel","642558","22.9","41.3","","15.0","11.8","8.9","","","",""
"Beede, Tyler","595881","56.1","0.0","","11.5","18.7","13.7","","","",""
"Brault, Steven","643230","50.6","13.4","14.6","6.0","14.2","1.0","","","",""
"Chirinos, Yonny","630023","1.0","55.0","","21.6","","","22.5","","",""
"Woodruff, Brandon","605540","38.3","25.8","","19.8","14.3","1.9","","","",""
"LeBlanc, Wade","453281","5.7","22.1","30.2","","31.1","10.9","","","",""
"Chacín, Jhoulys","468504","12.9","31.4","","49.6","5.6","0.6","","","",""
"Pomeranz, Drew","519141","52.6","8.0","5.8","","1.6","31.9","","","",""
"Brooks, Aaron","605156","25.7","28.0","","22.4","20.6","3.3","","","",""
"Plesac, Zach","668676","50.6","","","18.8","20.6","10.0","","","",""
"Snell, Blake","605483","48.4","","","6.7","20.4","24.6","","","",""
"Foltynewicz, Mike","592314","26.3","25.6","","28.5","9.5","10.1","","","",""
"Zimmermann, Jordan","519455","34.4","12.4","","31.6","2.1","19.5","","","",""
"Keuchel, Dallas","572971","5.2","49.0","19.8","11.4","14.5","","","","",""
"Price, David","456034","27.5","26.2","17.3","","26.5","2.5","","","",""
"Beeks, Jalen","656222","44.0","0.1","5.7","","31.4","18.8","","","",""
"Ynoa, Gabriel","593679","31.1","25.0","","28.0","13.7","2.3","","","",""
"Houser, Adrian","605288","31.3","36.1","","11.9","6.8","13.9","","","",""
"Plutko, Adam","592644","53.9","","24.0","0.4","11.2","10.5","","","",""
"López, Pablo","641154","42.4","16.3","","","22.0","19.2","","","",""
"Strahm, Matt","621381","35.7","2.7","30.1","","13.9","17.6","","","",""
"Quantrill, Cal","615698","20.1","36.9","","21.5","17.6","3.9","","","",""
"Freeland, Kyle","607536","41.5","9.6","","30.4","12.5","6.1","","","",""
"Sabathia, CC","282332","1.3","14.3","42.0","30.2","12.2","","","","",""
"Cahill, Trevor","502239","8.1","28.3","18.4","","23.4","21.8","","","",""
"Heaney, Andrew","571760","","57.9","","","15.1","27.0","","","",""
"Milone, Tommy","543548","43.7","","","10.3","38.1","7.8","","","",""
"Rodríguez, Dereck","605446","40.3","8.2","14.0","","20.7","16.9","","","",""
"Gausman, Kevin","592332","57.0","","","1.8","3.5","","37.7","","",""
"Pivetta, Nick","601713","49.3","2.2","","12.4","0.9","35.2","","","",""
"Peralta, Freddy","642547","77.7","","","","1.8","20.5","","","",""
"Anderson, Shaun","641312","45.2","13.3","","30.6","8.0","3.0","","","",""
"Lambert, Peter","663567","52.7","0.4","","12.1","21.9","12.8","","","",""
"Montgomery, Mike","543557","13.8","26.8","17.0","","21.2","21.2","","","",""
"Peña, Félix","570240","4.5","44.6","","39.4","11.5","","","","",""
"Canning, Griffin","656288","42.3","","","28.9","12.8","16.0","","","",""
"Godley, Zack","643327","0.1","35.5","16.3","","6.0","42.1","","","",""
"Font, Wilmer","521655","47.1","11.1","","13.4","","19.0","9.3","","",""
"Clarke, Taylor","664199","45.9","7.3","","25.4","11.8","9.7","","","",""
"Peacock, Brad","502748","27.4","31.1","","","6.0","6.9","","","28.6",""
"Barria, Jaime","642545","31.1","5.5","","47.1","16.3","","","","",""
"Montas, Frankie","593423","18.7","38.0","","25.0","","","18.2","","",""
"Suarez, José","660761","47.2","","","3.4","30.9","18.5","","","",""
"Holland, Derek","502706","","62.1","","29.6","4.1","4.3","","","",""
"Wojciechowski, Asher","592879","53.9","","19.3","24.5","2.3","","","","",""
"Stripling, Ross","548389","36.0","1.9","2.9","15.9","14.7","28.5","","","",""
"Hernández, Elieser","622694","53.6","1.7","","33.3","11.4","","","","",""
"Hess, David","605276","53.4","5.7","","24.6","11.7","4.5","","","",""
"Gaviglio, Sam","543208","","42.4","","44.3","9.7","3.6","","","",""
"González, Gio","461829","26.6","25.2","","","31.8","16.4","","","",""
"Gallen, Zac","668678","47.6","2.2","15.4","","15.9","18.9","","","",""
"Skaggs, Tyler","572140","50.4","","","","15.9","33.7","","","",""
"Yamamoto, Jordan","657141","49.0","0.8","18.0","14.8","3.6","13.8","","","",""
"Ureña, José","570632","0.4","62.9","","19.9","10.6","6.2","","","",""
"Cease, Dylan","656302","47.4","4.2","","21.0","8.9","18.5","","","",""
"Cessa, Luis","570666","34.2","7.8","","49.9","7.2","1.0","","","",""
"Guerra, Junior","448855","30.9","29.2","","","","18.8","21.0","","",""
"Urías, Julio","628711","58.5","1.9","","17.3","16.3","6.1","","","",""
"Waguespack, Jacob","621097","32.2","16.2","24.0","5.3","8.1","14.3","","","",""
"Young, Alex","622065","14.3","22.2","23.3","","20.1","20.1","","","",""
"Ramirez, Nick","598286","20.3","9.8","32.4","","32.0","5.7","","","",""
"Green, Chad","643338","77.3","","","20.9","","","1.7","","",""
"Hendriks, Liam","521230","69.3","1.2","","21.6","","7.9","","","",""
"Jackson, Edwin","429719","23.3","13.9","27.4","25.2","7.5","2.7","","","",""
"Barnes, Matt","598264","47.3","","","","2.0","50.7","","","",""
"Chavez, Jesse","445926","8.2","37.6","31.0","13.3","9.6","0.3","","","",""
"Barlow, Scott","605130","35.0","8.0","","43.5","0.2","13.3","","","",""
"Cortes, Nestor","641482","46.7","5.5","","33.9","12.3","1.5","","","",""
"Stanek, Ryne","592773","55.7","","","23.6","","","20.7","","",""
"Lorenzen, Michael","547179","21.3","15.7","26.5","9.8","19.5","7.2","","","",""
"McHugh, Collin","543521","32.6","0.7","12.1","","3.2","7.8","","","43.7",""
"Fedde, Erick","607200","0.9","55.0","17.2","","7.1","19.8","","","",""
"Chatwood, Tyler","543022","31.7","39.5","10.2","","7.3","11.4","","","",""
"Bradley, Archie","605151","58.5","11.1","","","5.8","24.6","","","",""
"Leclerc, José","600917","41.0","8.8","","37.1","11.8","1.3","","","",""
"Peters, Dillon","596071","45.4","5.0","","3.9","21.0","24.7","","","",""
"Carrasco, Carlos","471911","33.6","12.1","","34.1","18.6","1.6","","","",""
"Lugo, Seth","607625","34.6","22.2","","13.0","6.5","23.7","","","",""
"Walden, Marcus","519393","19.3","17.7","25.8","37.2","","","","","",""
"Eovaldi, Nathan","543135","43.3","","22.5","3.2","","17.5","13.5","","",""
"Hoffman, Jeff","656546","58.8","","","1.0","0.1","28.8","11.3","","",""
"Pannone, Thomas","623381","61.7","","","0.1","15.4","22.9","","","",""
"Jackson, Luke","592426","37.9","","","53.6","0.1","8.5","","","",""
"Stammen, Craig","489334","0.3","71.0","15.8","","0.7","12.2","","","",""
"Stratton, Chris","608717","56.5","0.2","0.3","24.1","5.9","13.0","","","",""
"Workman, Brandon","519443","33.7","","19.3","","","47.0","","","",""
"Estévez, Carlos","608032","67.5","1.8","","27.2","3.5","","","","",""
"Castro, Miguel","612434","","48.9","","31.1","20.0","","","","",""
"Lamet, Dinelson","659275","35.9","18.8","","12.2","1.5","31.7","","","",""
"Hudson, Daniel","543339","63.3","7.5","","23.3","5.9","","","","",""
"Hernández, Félix","433587","7.5","32.2","","9.0","16.2","35.2","","","",""
"Brebbia, John","605154","56.6","","","42.8","0.6","","","","",""
"Buttrey, Ty","621142","57.0","0.1","","29.5","13.4","","","","",""
"Suero, Wander","593833","0.2","","72.1","","20.6","7.1","","","",""
"Andriese, Matt","542882","49.7","0.7","","1.1","36.9","11.6","","","",""
"Law, Derek","571882","36.7","","","30.5","12.9","19.9","","","",""
"Shaw, Bryan","543766","","","75.4","9.3","7.5","7.7","","","",""
"Diekman, Jake","518617","48.6","5.2","","46.0","0.3","","","","",""
"Newcomb, Sean","656794","65.2","","","8.1","6.9","19.7","","","",""
"Valdez, Framber","664285","18.0","41.2","","","6.6","34.2","","","",""
"May, Trevor","543507","61.6","1.3","","14.5","10.0","12.6","","","",""
"Detwiler, Ross","446321","32.6","19.8","15.3","1.9","16.4","14.0","","","",""
"Ottavino, Adam","493603","2.0","39.6","13.7","","","","","","44.8",""
"Farmer, Buck","571656","48.8","","","25.2","26.0","","","","",""
"Chen, Wei-Yin","612672","48.1","3.0","","22.7","3.8","22.4","","","",""
"Rodríguez, Richard","593144","81.9","3.3","","14.3","0.4","","","","",""
"Agrazal, Dario","642607","12.5","55.2","","18.9","13.4","","","","",""
"González, Chi Chi","592346","42.2","11.7","28.3","6.5","11.4","","","","",""
"Devenski, Chris","606965","44.1","","","19.4","36.5","","","","",""
"Biagini, Joe","607352","16.0","34.8","29.6","","10.9","8.7","","","",""
"Robles, Hansel","570663","48.9","7.4","","21.5","22.3","","","","",""
"Hader, Josh","623352","","84.3","","15.5","0.3","","","","",""
"Ross, Joe","605452","23.6","39.2","","20.7","7.6","9.0","","","",""
"Petit, Yusmeiro","433589","45.3","","21.2","","19.3","14.2","","","",""
"Tomlin, Josh","458708","25.2","5.7","43.2","","8.5","17.3","","","",""
"Gallegos, Giovanny","606149","55.2","","","44.2","0.6","","","","",""
"Liriano, Francisco","434538","8.5","35.1","","30.4","26.0","","","","",""
"Armstrong, Shawn","542888","59.7","","27.8","12.5","","","","","",""
"James, Josh","657624","63.3","","","20.5","14.6","1.6","","","",""
"Neris, Héctor","593576","25.8","8.9","","","","","65.3","","",""
"Castillo, Diego","650895","3.8","44.8","","51.5","","","","","",""
"Iglesias, Raisel","628452","37.3","10.6","","30.7","21.4","","","","",""
"Soto, Gregory","642397","6.1","64.0","","23.8","6.1","","","","",""
"Cishek, Steve","518553","17.0","42.1","","40.0","0.8","","","","",""
"Ramirez, Noé","598287","28.4","","","","34.2","37.4","","","",""
"Hughes, Jared","453172","5.9","74.5","","5.7","8.2","5.7","","","",""
"Anderson, Nick","623433","59.9","","","","","40.1","","","",""
"Soria, Joakim","465657","64.6","3.5","","11.7","7.1","13.0","","","",""
"Kennedy, Ian","453178","66.9","","16.1","","1.7","15.2","","","",""
"Givens, Mychal","571710","70.2","","","15.3","14.5","","","","",""
"Báez, Pedro","520980","50.6","0.3","","17.2","31.9","","","","",""
"Gant, John","607231","24.0","31.9","11.2","","22.6","10.4","","","",""
"Fry, Paul","643316","52.3","","","46.3","1.4","","","","",""
"Guerra, Javy","457915","59.1","","","25.0","8.7","7.2","","","",""
"Pagán, Emilio","641941","61.5","","36.5","","","2.0","","","",""
"Doolittle, Sean","448281","88.2","","","5.8","","","6.1","","",""
"Gsellman, Robert","607229","2.6","49.2","","26.6","10.0","11.7","","","",""
"Díaz, Edwin","621242","65.9","0.3","","33.9","","","","","",""
"Melancon, Mark","453343","6.7","","59.6","","","31.0","2.6","","",""
"Conley, Adam","543045","61.7","","","13.9","16.9","7.4","","","",""
"Jiménez, Joe","641729","68.3","","","25.9","5.8","","","","",""
"Fry, Jace","605240","11.8","12.5","49.5","","7.6","18.6","","","",""
"Weaver, Luke","596133","52.0","0.1","12.1","1.9","24.8","9.1","","","",""
"Osich, Josh","592612","10.2","6.9","66.8","11.4","4.7","","","","",""
"Ryan, Kyle","594986","19.5","30.5","36.9","","0.3","12.8","","","",""
"Jansen, Kenley","445276","","13.4","74.3","12.3","","","","","",""
"Mengden, Daniel","596043","32.3","20.3","14.5","12.1","11.1","9.7","","","",""
"García, Luis","472610","22.1","25.0","","34.3","","","18.7","","",""
"Smith, Will","519293","46.8","","","42.3","1.8","9.0","","","",""
"Familia, Jeurys","544727","16.6","49.4","","26.5","","","7.5","","",""
"Perdomo, Luis","606131","0.3","54.3","","34.4","","","11.0","","",""
"Rogers, Taylor","573124","0.1","49.8","","","","32.3","","","17.8",""
"Bummer, Aaron","607481","8.6","67.7","16.5","3.5","0.6","","","","3.3",""
"Moronta, Reyes","606625","58.4","","","34.6","6.9","","","","",""
"Bettis, Chad","518452","35.8","2.5","17.4","","32.2","12.0","","","",""
"Kingham, Nick","592468","39.2","10.4","13.0","1.3","16.7","19.3","","","",""
"Kahnle, Tommy","592454","44.2","","","3.9","51.9","","","","",""
"Martin, Brett","656685","29.0","23.3","","34.0","","13.8","","","",""
"Yates, Kirby","489446","57.0","","","0.9","","","42.1","","",""
"Parker, Blake","453284","46.6","","6.1","","","15.5","31.9","","",""
"Covey, Dylan","592229","17.7","32.8","21.3","","0.1","9.9","18.2","","",""
"Brewer, Colten","605155","0.9","0.9","40.6","12.9","0.2","44.6","","","",""
"Feliz, Michael","593140","73.4","","","20.2","6.4","","","","",""
"Bedrosian, Cam","592135","47.8","","","50.9","","","1.3","","",""
"Albers, Matt","458006","10.1","46.4","","33.1","10.3","","","","",""
"Stephenson, Robert","596112","36.1","","","57.1","","","6.8","","",""
"Treinen, Blake","595014","21.5","45.7","19.0","13.7","","","","","",""
"García, Yimi","554340","44.1","1.8","","17.7","5.6","30.8","","","",""
"Brach, Brad","542960","47.7","6.2","7.9","19.4","18.8","","","","",""
"Romo, Sergio","489265","10.1","14.3","","59.6","16.1","","","","",""
"Chapman, Aroldis","547973","58.7","10.0","","31.1","0.1","","","","",""
"Alvarez, Jose","501625","13.5","38.6","7.3","10.9","22.1","7.6","","","",""
"Velázquez, Hector","584171","23.2","27.5","","16.9","29.9","2.6","","","",""
"Duffey, Tyler","608648","51.4","2.6","","","0.5","45.5","","","",""
"Brasier, Ryan","518489","55.1","4.1","","31.9","8.9","","","","",""
"Colomé, Alex","517008","28.8","","68.3","","2.9","","","","",""
"Eickhoff, Jerad","595191","36.7","2.4","","29.5","","31.5","","","",""
"Rondón, Héctor","444468","45.6","14.5","","35.5","4.4","","","","",""
"Claudio, Alex","592222","2.0","44.3","","17.6","36.0","0.1","","","",""
"Swanson, Erik","657024","67.3","","","18.4","14.3","","","","",""
"Wittgren, Nick","621295","66.4","","","18.8","14.7","0.1","","","",""
"Hill, Rich","448179","51.9","0.7","0.3","","0.8","43.5","","","2.8",""
"Straily, Dan","573185","52.2","0.2","","20.0","24.1","3.5","","","",""
"Buchholz, Clay","453329","14.4","20.1","28.2","","19.7","17.4","","","",""
"Miller, Andrew","453192","38.1","0.5","","61.3","0.1","","","","",""
"Erlin, Robbie","572362","29.6","21.3","","10.2","16.6","22.3","","","",""
"Margevicius, Nick","676606","54.1","","","25.3","7.2","13.5","","","",""
"Vázquez, Felipe","553878","59.4","1.7","","16.7","8.0","14.2","","","",""
"Trivino, Lou","642152","33.9","17.3","33.5","","4.8","10.5","","","",""
"Garrett, Amir","607237","10.7","31.3","","58.0","","","","","",""
"Greene, Shane","572888","1.9","45.1","31.1","0.5","0.5","","","","20.9",""
"Hand, Brad","543272","42.5","3.4","","","","","","","54.1",""
"Bañuelos, Manny","544365","21.7","26.2","","32.9","8.4","10.9","","","",""
"Osuna, Roberto","532077","46.1","2.6","12.9","19.6","18.5","0.2","","","",""
"VerHagen, Drew","572403","12.5","40.0","","30.4","0.6","16.4","","","",""
"Harvey, Matt","518774","47.0","0.3","","28.0","10.3","14.3","","","",""
"Swarzak, Anthony","461872","35.9","4.7","","59.4","","","","","",""
"Drake, Oliver","543118","40.5","","0.1","","","","59.4","","",""
"Wisler, Matt","605538","8.7","20.5","","70.5","","0.3","","","",""
"Hirano, Yoshihisa","673633","48.0","","","0.3","","","51.7","","",""
"Britton, Zack","502154","","86.4","","13.6","","","","","",""
"Crick, Kyle","605195","50.4","11.9","","37.4","0.3","","","","",""
"Clippard, Tyler","461325","19.3","21.6","","8.7","30.5","3.9","16.0","","",""
"Roe, Chaz","475054","5.2","23.7","6.4","","","0.6","","","64.1",""
"Mayza, Tim","641835","19.2","45.2","","35.6","","","","","",""
"Alexander, Tyler","641302","31.2","23.4","","15.6","11.4","18.4","","","",""
"Gott, Trevor","641627","66.9","10.1","","1.4","3.8","17.7","","","",""
"Harris, Will","501789","1.1","","56.9","","","42.0","","","",""
"Cole, Taylor","518566","37.2","","4.4","21.7","31.8","4.8","","","",""
"Herrera, Kelvin","516969","35.4","21.3","11.1","12.7","19.5","","","","",""
"Wingenter, Trey","622259","55.0","","","45.0","","","","","",""
"Gearrin, Cory","518715","8.4","36.3","","40.3","15.0","","","","",""
"Glasnow, Tyler","607192","67.2","","","","3.5","29.3","","","",""
"McCarthy, Kevin","641838","3.1","57.2","","11.1","22.3","6.3","","","",""
"Guerrero, Tayron","594027","70.1","9.4","","20.4","","","","","",""
"Rainey, Tanner","663432","70.7","","","29.0","0.3","","","","",""
"Oberg, Scott","623184","52.0","0.2","","43.4","4.5","","","","",""
"Anderson, Justin","605121","40.8","6.1","","52.1","0.9","","","","",""
"McFarland, T.J.","519008","0.4","68.0","","15.5","16.0","","","","",""
"Chafin, Andrew","605177","29.9","31.5","","38.6","","","","","",""
"Díaz, Jairo","545064","25.1","30.9","","44.0","","","","","",""
"Burnes, Corbin","669203","52.5","3.7","0.9","31.0","4.1","7.8","","","",""
"Magill, Matt","543483","51.0","","0.1","18.8","0.1","30.1","","","",""
"Webb, Tyler","643778","37.2","27.9","","","19.4","15.4","","","",""
"Kelly, Joe","523260","28.0","22.8","","","12.6","36.5","","","",""
"McKay, Brendan","656713","57.2","","13.0","","3.6","26.2","","","",""
"Holmes, Clay","605280","10.3","52.8","","11.9","1.1","23.9","","","",""
"Poche, Colin","621363","88.5","","","10.0","","","1.5","","",""
"Kinley, Tyler","641755","42.3","","","57.7","","","","","",""
"López, Yoan","661255","57.1","","","39.4","3.5","","","","",""
"Martin, Chris","455119","45.8","17.7","14.5","9.5","","","12.2","","0.3",""
"Miller, Shelby","571946","67.4","2.3","3.6","","2.3","24.4","","","",""
"Civale, Aaron","650644","3.3","35.1","29.2","14.9","6.6","11.0","","","",""
"Ponce de Leon, Daniel","594965","70.7","","13.4","0.1","7.3","8.5","","","",""
"Jeffress, Jeremy","502026","28.5","34.1","","","","28.4","9.1","","",""
"Kintzler, Brandon","445213","3.7","68.5","","10.2","17.5","","","","",""
"Harper, Ryne","607560","38.7","","0.1","","0.9","60.3","","","",""
"Rodney, Fernando","407845","20.6","47.4","","3.3","28.8","","","","",""
"Dyson, Sam","473879","9.9","45.2","27.3","7.0","10.6","","","","",""
"Davis, Wade","451584","44.6","0.4","34.8","","1.4","18.8","","","",""
"Allard, Kolby","663465","46.5","","33.1","","15.1","5.4","","","",""
"Taylor, Josh","657031","46.1","14.4","","37.7","0.1","1.8","","","",""
"Marshall, Evan","605359","23.4","20.7","","","39.2","16.7","","","",""
"Nicasio, Juan","504379","41.9","12.1","","45.7","0.2","","","","",""
"Ferguson, Caleb","657571","78.0","","","","0.2","21.7","","","",""
"Kittredge, Andrew","552640","18.5","39.7","","37.3","4.5","","","","",""
"Watson, Tony","453265","0.5","50.8","","10.6","38.1","","","","",""
"Giles, Ken","571704","49.0","1.6","","49.4","","","","","",""
"Elías, Roenis","606273","50.8","6.5","","","29.3","13.4","","","",""
"Pressly, Ryan","519151","35.7","","","29.0","","35.2","","","",""
"Cimber, Adam","643256","16.9","50.8","","32.2","","","","","",""
"Kolarek, Adam","592473","10.6","71.3","1.0","7.9","9.2","","","","",""
"Bard, Luke","572703","34.6","9.6","","50.4","5.4","","","","",""
"Rodriguez, Jefry","622446","28.4","39.7","","","8.9","23.0","","","",""
"Buchter, Ryan","488748","62.8","","14.7","","","22.5","","","",""
"Brice, Austin","592169","31.5","19.5","","","4.4","44.7","","","",""
"Martinez, Carlos","593372","29.8","20.8","2.3","28.4","18.6","","","","",""
"Toussaint, Touki","657053","24.3","24.8","","","","27.4","23.4","","",""
"Hernandez, David","456696","27.6","24.5","31.4","","0.4","16.1","","","",""
"Johnson, Brian","598271","36.5","0.6","","26.7","1.6","34.6","","","",""
"Yacabonis, Jimmy","642231","6.5","57.1","","29.7","6.6","","","","",""
"Kelley, Shawn","518875","39.7","","","60.2","0.1","","","","",""
